2025-12-18 13:00:58.047 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:09:18.815 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:09:18.829 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:09:18.844 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:09:27.774 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:09:35.364 - ACTION=VIEW_MY_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:10:19.915 - ACTION=VIEW_ROLE | RESOURCE_TYPE=Role | RESOURCE_ID=USER | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:10:19.928 - ACTION=VIEW_PERMISSION | RESOURCE_TYPE=Permission | RESOURCE_ID=USER_CREATE | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 13:10:19.942 - ACTION=REMOVE_PERMISSION | RESOURCE_TYPE=RolePermission | RESOURCE_ID=2-1 | USER=admin | USER_ID=1 | RESULT=FAILED | ERROR=Role does not have this permission
2025-12-18 14:53:38.882 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:53:47.565 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:53:47.576 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:53:47.589 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:54:54.210 - ACTION=CREATE_USER | RESOURCE_TYPE=User | RESOURCE_ID=tester | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:55:13.855 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=FAILED | ERROR=User not found: 1
2025-12-18 14:55:20.145 - ACTION=VIEW_MY_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:55:34.812 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 14:55:40.359 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=tester | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:55:58.146 - ACTION=ENABLE_USER | RESOURCE_TYPE=User | RESOURCE_ID=1 | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:56:01.955 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:56:01.966 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=tester | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:56:01.978 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:56:01.987 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 14:56:02.000 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:02:37.576 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:41.769 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:41.783 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=tester | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:41.795 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:41.807 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:41.820 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:02:54.982 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:04:00.516 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:04:12.797 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:07:31.789 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=tester | USER=tester | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:07:58.889 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:08:03.972 - ACTION=LIST_PERMISSIONS | RESOURCE_TYPE=Permission | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:08:18.502 - ACTION=VIEW_MY_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:04.818 - ACTION=CREATE_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:07.791 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:07.801 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:07.810 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:07.820 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:07.829 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:13.608 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:09:17.175 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:09:32.993 - ACTION=UPDATE_USER_INFO | RESOURCE_TYPE=User | RESOURCE_ID=2 | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:09:34.853 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:09:34.865 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:09:34.876 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:09:34.891 - ACTION=VIEW_USER_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=2 | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:04.306 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:08.458 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:08.473 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:08.484 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:08.502 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:08.513 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:11.507 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:16.741 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:20.509 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:20.522 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:20.532 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:20.545 - ACTION=VIEW_USER_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=2 | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:30.849 - ACTION=VIEW_MY_PERMISSIONS | RESOURCE_TYPE=UserPermission | RESOURCE_ID=N/A | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:41.724 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:15:47.636 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:15:56.132 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:16:30.553 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=csbook | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:05.020 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=2 | RESOURCE_ID=4090 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:07.717 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:28.206 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=2 | RESOURCE_ID=5090 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:30.654 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:33.422 - ACTION=VIEW_RESOURCE | RESOURCE_TYPE=2 | RESOURCE_ID=3 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:17:52.060 - ACTION=VIEW_MY_AUDIT | RESOURCE_TYPE=AuditLog | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:18:13.041 - ACTION=VIEW_USER_AUDIT | RESOURCE_TYPE=AuditLog | RESOURCE_ID=2 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:18:40.796 - ACTION=VIEW_AUDIT_BY_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:19:45.096 - ACTION=CREATE_PERMISSION | RESOURCE_TYPE=Permission | RESOURCE_ID=HAVE_BOOK | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:20:09.036 - ACTION=VIEW_ROLE | RESOURCE_TYPE=Role | RESOURCE_ID=HAVE_BOOK | USER=admin | USER_ID=1 | RESULT=FAILED | ERROR=Role not found: HAVE_BOOK
2025-12-18 15:20:42.153 - ACTION=VIEW_ROLE | RESOURCE_TYPE=Role | RESOURCE_ID=USER | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:20:42.192 - ACTION=ASSIGN_SCOPED_PERMISSION | RESOURCE_TYPE=1 | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=FAILED | ERROR=Scoped permission already exists for this role
2025-12-18 15:22:42.840 - ACTION=VIEW_ROLE | RESOURCE_TYPE=Role | RESOURCE_ID=USER | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:22:42.851 - ACTION=VIEW_PERMISSION | RESOURCE_TYPE=Permission | RESOURCE_ID=HAVE_BOOK | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:22:42.867 - ACTION=ASSIGN_PERMISSION | RESOURCE_TYPE=RolePermission | RESOURCE_ID=2-25 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:23:02.826 - ACTION=VIEW_ROLE | RESOURCE_TYPE=Role | RESOURCE_ID=USER | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:23:02.840 - ACTION=ASSIGN_SCOPED_PERMISSION | RESOURCE_TYPE=1 | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:23:09.980 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-18 15:23:14.078 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:23:18.518 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=test | USER_ID=2 | RESULT=SUCCESS
2025-12-18 15:23:24.394 - ACTION=VIEW_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=1 | USER=test | USER_ID=2 | RESULT=SUCCESS
