2025-12-20 13:06:18.395 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:06:22.062 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:06:22.087 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:06:22.116 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=1 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:06:47.332 - ACTION=CREATE_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:13:18.282 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:13:36.973 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=BOOK | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:13:55.347 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=BOOK | USER=admin | USER_ID=1 | RESULT=FAILED | ERROR=Resource code already exists: BOOK
2025-12-20 13:14:15.567 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=1 | RESOURCE_ID=CSbooks | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:25.156 - ACTION=CREATE_RESOURCE | RESOURCE_TYPE=2 | RESOURCE_ID=GPU | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:28.101 - ACTION=LIST_RESOURCES | RESOURCE_TYPE=Resource | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:45.444 - ACTION=LOGOUT | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:50.882 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=anonymous | USER_ID=null | RESULT=FAILED | ERROR=Invalid password
2025-12-20 13:14:55.747 - ACTION=LOGIN | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:57.904 - ACTION=LIST_USERS | RESOURCE_TYPE=User | RESOURCE_ID=N/A | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:57.927 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=test | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:57.948 - ACTION=VIEW_USER_ROLES | RESOURCE_TYPE=UserRole | RESOURCE_ID=2 | USER=admin | USER_ID=1 | RESULT=SUCCESS
2025-12-20 13:14:57.970 - ACTION=VIEW_USER | RESOURCE_TYPE=User | RESOURCE_ID=admin | USER=admin | USER_ID=1 | RESULT=SUCCESS
